row,x,y,z,state
67,3.928984,1.491386,7.417027,1
68,3.924377,1.494641,7.417671,1
69,3.927825,1.494187,7.412208,1
70,3.935633,1.486707,7.401469,1
71,3.931321,1.485533,7.3901,1
72,3.929948,1.489391,7.384624,1
73,3.929652,1.494357,7.38533,1
74,3.931807,1.489882,7.39264,1
75,3.927784,1.495386,7.403613,1
76,3.922552,1.499664,7.410025,1
77,3.924717,1.502719,7.407085,1
78,3.927581,1.503344,7.398606,1
79,3.925887,1.505023,7.386882,1
80,3.922174,1.509366,7.375856,1
81,3.919122,1.513702,7.372958,1
82,3.919904,1.516967,7.377131,1
83,3.920551,1.522291,7.39238,0
84,3.918741,1.527741,7.407472,0
85,3.916476,1.527523,7.416831,0
86,3.915091,1.528956,7.422163,0
87,3.915796,1.527882,7.424487,0
88,3.914924,1.528848,7.424198,0
89,3.912893,1.52841,7.424259,0
90,3.910769,1.528446,7.423584,0
91,3.908863,1.528672,7.422761,0
92,3.907604,1.527813,7.422387,0
93,3.907111,1.528442,7.422791,0
94,3.907077,1.530627,7.425201,0
95,3.907897,1.532008,7.429178,0
96,3.909315,1.533085,7.43555,0
97,3.911337,1.535686,7.442845,0
98,3.912875,1.53651,7.448843,0
99,3.914716,1.536425,7.452708,0
100,3.916966,1.537403,7.455906,0
101,3.919026,1.537348,7.45891,0
102,3.920429,1.537412,7.462045,0
103,3.920402,1.535946,7.463449,0
104,3.916419,1.530491,7.46088,0
105,3.909993,1.531926,7.451756,0
106,3.907822,1.527609,7.441363,1
107,3.900416,1.531531,7.430135,1
108,3.896504,1.532107,7.425493,1
109,3.891672,1.529393,7.426737,1
110,3.888632,1.51258,7.434398,1
111,3.882185,1.500326,7.448997,1
112,3.8765,1.497061,7.460646,1
113,3.872036,1.489779,7.464857,1
114,3.87576,1.483617,7.461361,1
115,3.879594,1.480414,7.452497,1
116,3.876568,1.476666,7.439489,1
117,3.874147,1.474453,7.431914,1
118,3.873191,1.475087,7.429018,1
119,3.878623,1.466272,7.431697,1
120,3.875246,1.471575,7.438461,1
121,3.866852,1.477425,7.441622,1
122,3.863859,1.479607,7.437625,1
123,3.862912,1.482154,7.428516,1
124,3.859007,1.494905,7.415542,1
125,3.859654,1.506609,7.404884,1
126,3.861294,1.512407,7.396201,1
127,3.861031,1.518872,7.391229,1
128,3.864582,1.521729,7.399834,1
129,3.859465,1.534486,7.405346,1
130,3.861602,1.543503,7.408038,1
131,3.861279,1.544215,7.40498,1
132,3.860838,1.540041,7.398359,1
133,3.856035,1.540145,7.39317,1
134,3.850569,1.546718,7.395104,1
135,3.847022,1.549308,7.401472,1
136,3.843901,1.539638,7.411231,1
137,3.837401,1.540948,7.421799,1
138,3.83186,1.546378,7.428094,1
139,3.829851,1.544153,7.4265,1
140,3.831467,1.532797,7.421062,1
141,3.832562,1.536741,7.41556,0
142,3.830869,1.534806,7.417351,0
143,3.833064,1.53225,7.426367,0
144,3.835931,1.533872,7.439619,0
145,3.84042,1.533467,7.449122,0
146,3.844338,1.533004,7.454292,0
147,3.846736,1.53234,7.456135,0
148,3.84868,1.530586,7.458397,0
149,3.849553,1.529263,7.458567,0
150,3.84974,1.527957,7.4593,0
151,3.849377,1.526165,7.458907,0
152,3.849004,1.5262,7.457749,0
153,3.847368,1.525424,7.456937,0
154,3.845106,1.523521,7.456935,0
155,3.843836,1.52319,7.456428,0
156,3.843198,1.522595,7.456102,0
157,3.842777,1.522427,7.455297,0
158,3.841917,1.521739,7.455459,0
159,3.840606,1.520975,7.457078,0
160,3.83927,1.520346,7.463267,0
161,3.83794,1.5186,7.471957,0
162,3.83733,1.515549,7.479432,0
163,3.837118,1.51322,7.482634,0
164,3.835439,1.51483,7.478351,0
165,3.830768,1.517256,7.465189,0
166,3.826582,1.512066,7.448054,1
167,3.822577,1.509764,7.432328,1
168,3.817322,1.518645,7.424008,1
169,3.819431,1.523394,7.423362,1
170,3.819073,1.520091,7.429606,1
171,3.810315,1.527131,7.441879,1
172,3.80677,1.5286,7.44844,1
173,3.806981,1.531545,7.445177,1
174,3.810805,1.531318,7.434104,1
175,3.811134,1.537568,7.402105,1
176,3.815053,1.540054,7.369842,1
177,3.832173,1.539173,7.353332,1
178,3.838314,1.532023,7.356546,1
179,3.833099,1.524711,7.378406,1
180,3.820488,1.524549,7.406645,1
181,3.812219,1.527133,7.433292,1
182,3.806236,1.524402,7.446399,1
183,3.808274,1.503965,7.444046,1
184,3.801506,1.501565,7.439916,1
185,3.788877,1.537027,7.444383,1
186,3.782297,1.551182,7.452656,2
187,3.789062,1.517751,7.453772,2
188,3.785686,1.557213,7.442283,2
189,3.794066,1.560984,7.426148,2
190,3.825414,1.50569,7.417233,2
191,3.809093,1.561044,7.422884,2
192,3.808873,1.576625,7.438982,2
193,3.828767,1.530317,7.443032,2
194,3.814095,1.562921,7.431828,2
195,3.815045,1.568005,7.421694,2
196,3.843611,1.503883,7.409852,2
197,3.83057,1.547243,7.39432,2
198,3.828909,1.570639,7.396952,2
199,3.853215,1.525418,7.397711,2
200,3.851131,1.562969,7.370103,2
201,3.847444,1.595155,7.348443,2
202,3.866763,1.530626,7.337642,2
203,3.865038,1.546486,7.324496,2
204,3.850419,1.591603,7.322279,2
205,3.856328,1.535,7.339171,2
206,3.854404,1.531081,7.339311,2
207,3.836714,1.591264,7.314654,2
208,3.837878,1.549458,7.320252,2
209,3.838866,1.524953,7.319458,2
210,3.825095,1.590591,7.316985,2
211,3.81543,1.562784,7.33449,2
212,3.808879,1.506816,7.344308,2
213,3.77354,1.522927,7.323478,2
214,3.735711,1.510301,7.302785,2
215,3.731495,1.455985,7.325973,2
216,3.706616,1.463705,7.342128,2
